config_id,reward_name,learning_rate,n_steps,batch_size,clip_range,ent_coef,mean_reward_shaped,std_reward_shaped,success_rate_default,mean_length_default,training_time
17,default,0.0003,2048,128,0.1,0.0,7.93,2.5836214893052736,1.0,13.145,88.32912921905518
10,default,0.0005,512,128,0.2,0.05,7.89,2.7033127824948413,1.0,13.25,96.9279670715332
20,default,0.0001,1024,64,0.2,0.0,7.75,2.6358110706194404,1.0,13.05,116.98784017562866
3,default,0.0001,2048,64,0.1,0.0,7.715,2.6236949136666023,1.0,13.2,118.82103204727173
2,default,0.0003,512,128,0.1,0.05,6.96,14.926097949564717,1.0,13.05,91.55645298957825
5,default,0.0001,2048,32,0.3,0.05,5.455,20.831177955170947,0.98,17.185,170.67297410964966
4,default,0.0001,512,32,0.3,0.05,2.42,32.51405234663929,0.99,15.145,170.71629905700684
7,default,0.0001,512,128,0.2,0.01,-8.23,54.66824581052514,0.9,32.475,101.40246486663818
1,default,0.0001,512,128,0.2,0.0,-10.56,59.63905096495081,0.9,31.275,107.08439898490906
19,default,0.0003,2048,64,0.1,0.0,-36.945,85.36393837563963,0.73,63.52,113.54616117477417
11,default,0.0001,1024,32,0.3,0.01,-60.64,97.82479440305511,0.68,72.975,178.58063673973083
12,default,0.0005,2048,32,0.3,0.0,-73.6,101.09020724085988,0.645,79.55,178.47325801849365
13,default,0.0001,2048,32,0.2,0.0,-83.51,103.27913584069147,0.48,110.16,181.75763988494873
9,default,0.0001,1024,32,0.2,0.01,-83.815,103.01330387382009,0.57,93.8,170.51089310646057
15,default,0.0005,512,64,0.2,0.0,-124.605,99.50929089788552,0.255,140.035,142.27190804481506
16,default,0.0005,2048,128,0.3,0.0,-148.995,89.54705453000672,0.245,154.19,92.68758010864258
18,default,0.001,1024,64,0.3,0.05,-165.415,77.80638004045683,0.165,168.98,116.16705012321472
14,default,0.0003,512,64,0.2,0.01,-171.995,70.89594470066677,0.1,181.24,131.2949619293213
8,default,0.0005,512,32,0.2,0.0,-200.0,0.0,0.0,200.0,189.74451780319214
6,default,0.001,512,64,0.3,0.01,-200.0,0.0,0.0,200.0,138.25245594978333
