config_id,reward_name,learning_rate,n_steps,batch_size,clip_range,ent_coef,mean_reward_shaped,std_reward_shaped,success_rate_default,mean_length_default,training_time
14,distance_based,0.0001,2048,32,0.1,0.05,8.856,2.478802936903215,1.0,13.31,166.98269891738892
3,distance_based,0.0003,2048,128,0.1,0.05,8.854999999999997,2.462980917506265,1.0,13.375,88.29129099845886
10,distance_based,0.0003,2048,32,0.2,0.05,8.813999999999998,2.495075950747793,1.0,12.99,161.16921091079712
17,distance_based,0.0003,512,128,0.1,0.05,8.750999999999998,2.5715557547912513,1.0,12.88,90.33913326263428
4,distance_based,0.0001,1024,32,0.1,0.05,8.7115,2.4707727030222757,1.0,13.21,165.32908582687378
7,distance_based,0.0001,1024,64,0.1,0.05,8.491999999999997,2.520602308972997,1.0,13.355,114.3255090713501
12,distance_based,0.0005,512,32,0.1,0.05,5.452499999999999,25.450170800016252,0.975,17.92,162.8954210281372
19,distance_based,0.001,1024,64,0.1,0.05,4.8054999999999986,29.36699201058903,0.985,15.79,107.26141786575317
18,distance_based,0.001,2048,64,0.3,0.05,1.7654999999999985,38.49843191287146,0.965,19.55,116.84420895576477
9,distance_based,0.0005,2048,64,0.1,0.0,-6.5615000000000006,55.01925815339571,0.89,33.395,113.04312205314636
11,distance_based,0.0001,1024,32,0.1,0.01,-6.787000000000002,55.06228410627369,0.935,24.9,168.29986786842346
5,distance_based,0.0005,2048,64,0.1,0.0,-9.679,59.797139220869084,0.895,32.58,112.74733805656433
6,distance_based,0.001,2048,32,0.2,0.0,-14.867500000000001,66.69026610945558,0.93,25.71,166.27200293540955
16,distance_based,0.0005,512,64,0.3,0.0,-20.123,71.0304439729895,0.86,38.805,132.0053780078888
13,distance_based,0.0003,512,64,0.1,0.05,-31.785999999999998,82.62768182637099,0.765,56.73,112.58944582939148
2,distance_based,0.0005,1024,32,0.1,0.01,-54.668,95.9160668292857,0.68,72.65,163.02973794937134
8,distance_based,0.0005,1024,32,0.2,0.05,-70.37950000000001,101.18174553618849,0.65,78.725,161.5008509159088
15,distance_based,0.0005,512,32,0.1,0.01,-74.845,102.04722227968774,0.61,86.095,176.9971160888672
20,distance_based,0.001,2048,32,0.3,0.0,-78.637,102.96983262587155,0.595,88.445,168.84171605110168
1,distance_based,0.001,512,64,0.2,0.01,-111.04400000000001,102.98046447749203,0.435,114.3,130.69918417930603
