config_id,reward_name,learning_rate,n_steps,batch_size,clip_range,ent_coef,mean_reward_shaped,std_reward_shaped,success_rate_default,mean_length_default,training_time
15,enhanced,0.001,1024,64,0.1,0.05,5.044,49.08117830696407,0.89,33.805,112.81894516944885
3,enhanced,0.0005,2048,32,0.3,0.05,-6.979000000000001,51.83053693528556,0.475,111.09,181.09460306167603
5,enhanced,0.0001,2048,32,0.3,0.0,-8.405999999999999,57.157711325769505,0.62,84.39,181.90728783607483
19,enhanced,0.0001,1024,32,0.3,0.01,-14.478000000000002,59.11623394635352,0.3,143.98,186.3432650566101
16,enhanced,0.0005,1024,32,0.1,0.0,-15.645,55.19978419341872,0.24,155.235,184.99208092689514
13,enhanced,0.0003,512,64,0.2,0.0,-21.138,66.65705481042498,0.375,127.335,133.85514211654663
20,enhanced,0.001,512,32,0.1,0.01,-24.133000000000003,60.22298988758363,0.0,200.0,184.08500504493713
11,enhanced,0.0005,1024,64,0.2,0.01,-25.385,63.270141259523044,0.09,183.285,135.03629994392395
8,enhanced,0.0001,1024,128,0.2,0.0,-26.389000000000006,73.59619609055892,0.36,132.63,108.8056492805481
2,enhanced,0.0001,1024,32,0.3,0.05,-26.843000000000004,67.25197655831388,0.1,181.275,182.52761793136597
17,enhanced,0.0001,1024,128,0.2,0.05,-29.162,69.32375462999677,0.155,170.965,108.10508394241333
14,enhanced,0.0001,512,32,0.1,0.05,-51.081,89.74797401055915,0.195,163.41,184.46426105499268
4,enhanced,0.0005,1024,32,0.3,0.0,-52.371,85.07934978007296,0.035,193.48,190.8549029827118
6,enhanced,0.001,1024,128,0.3,0.05,-54.401,90.05321870427508,0.195,163.44,106.55548119544983
1,enhanced,0.0001,512,128,0.1,0.0,-58.906000000000006,90.22601378759897,0.055,189.57,110.46809124946594
18,enhanced,0.0005,512,128,0.1,0.0,-60.392999999999994,91.53695292612704,0.17,168.33,108.7019681930542
10,enhanced,0.001,2048,32,0.2,0.0,-71.493,104.12720658406235,0.555,96.155,175.66418361663818
9,enhanced,0.001,1024,32,0.2,0.01,-73.95,98.4236978577822,0.14,173.78,186.70016932487488
7,enhanced,0.001,512,32,0.2,0.05,-76.69800000000001,99.13059666924234,0.15,170.925,185.15456676483154
12,enhanced,0.001,512,32,0.3,0.01,-113.4,97.76991970948937,0.015,197.095,189.00243496894836
