config_id,reward_name,learning_rate,n_steps,batch_size,clip_range,ent_coef,mean_reward_shaped,std_reward_shaped,success_rate_default,mean_length_default,training_time
16,modified_penalty,0.0003,2048,128,0.2,0.01,14.08,1.2820296408429877,1.0,12.945,91.58359670639038
11,modified_penalty,0.0003,2048,32,0.1,0.0,14.0675,1.2705092482937699,1.0,12.8,164.2206950187683
9,modified_penalty,0.0005,2048,128,0.3,0.05,14.04,1.3080137613954985,1.0,12.865,87.9459183216095
8,modified_penalty,0.0001,2048,128,0.1,0.0,13.985,1.2854084953819156,1.0,13.04,93.65827775001526
15,modified_penalty,0.0005,2048,128,0.1,0.05,13.9,1.2757350822173072,1.0,13.395,84.88439083099365
19,modified_penalty,0.0001,2048,128,0.3,0.05,13.7525,1.2747524269441497,1.0,13.505,92.12966799736023
2,modified_penalty,0.001,2048,128,0.1,0.0,12.8275,11.396227171744165,0.96,20.5,86.13960289955139
7,modified_penalty,0.0001,512,128,0.1,0.0,12.7175,11.398199145040413,0.99,14.98,95.76197385787964
18,modified_penalty,0.001,2048,128,0.1,0.0,12.35,13.933143938106719,0.985,15.7,86.76877212524414
20,modified_penalty,0.0005,512,32,0.1,0.05,7.635,25.992773514959882,0.935,25.265,166.0933496952057
5,modified_penalty,0.0005,512,32,0.1,0.05,6.0875,29.139382178591227,0.94,24.235,160.98423600196838
13,modified_penalty,0.0005,2048,32,0.3,0.05,-0.85,38.34690339518955,0.91,29.865,172.07789397239685
1,modified_penalty,0.0005,512,64,0.3,0.05,-5.46,42.80260973351976,0.84,42.6,130.66136193275452
17,modified_penalty,0.0001,1024,32,0.2,0.0,-11.815,47.53486378438461,0.74,61.805,174.51963090896606
3,modified_penalty,0.0003,1024,128,0.1,0.0,-13.4275,48.66277831926575,0.7,69.23,96.09780597686768
6,modified_penalty,0.001,1024,64,0.2,0.01,-42.3075,57.12599402855061,0.53,100.765,113.54163408279419
4,modified_penalty,0.001,512,128,0.2,0.01,-81.9475,41.36742068040984,0.145,170.63,108.39199805259705
12,modified_penalty,0.0003,512,32,0.2,0.01,-86.505,36.55420598234901,0.145,172.105,185.98873209953308
14,modified_penalty,0.001,512,128,0.3,0.01,-87.8975,35.33497903989756,0.065,187.695,107.30688309669495
10,modified_penalty,0.0003,1024,64,0.3,0.0,-89.01,33.92141506482299,0.13,175.38,131.2541000843048
